257,ERC/ESQUERRA,0
258,MULTILOAKOHERRIKANDIDATURA2011,0
259,PSI-S,0
260,SEGOVIADEIZQUIERDAS,0
261,ERREZILHERRINALDE,0
262,XTF,0
263,ASSPPT,0
264,AIS,0
265,CxS,0
266,AIGV,0
267,IperC,0
268,CSDC,0
269,ISC,0
270,UNICAT,0
271,PIHO,0
272,ALM,0
273,AILV,0
274,EDUARDOLOMAVADILLO,0
275,ALI,0
276,BOLI,0
277,ALG,0
278,AILY,0
279,SI,0
280,AIN,0
281,IDMA,0
282,PPCCAL,0
283,SC,0
284,VERDES-ECOLOVERDES,0
285,SA,0
286,IPOBLACIONDECERRATO,0
287,CAN,0
288,CcxV,0
289,VdeB,0
290,DPA,0
291,IXSANTACOMBA,0
292,pCUA,0
293,PSEI,0
294,PDAnd,0
295,ASAVA,0
296,CAV,0
297,AINDPTEIBAHERNANDO,0
298,AEILC,0
299,GT,0
300,HERRIKOTALDEA,0
301,AIAV,0
302,GIPR,0
303,UPyD,0
304,AIG,0
305,IBV,0
306,GIR,0
307,AVECINOSINDPTE,0
308,IPERCASTELLSERÀ,0
309,PGD,0
310,ASIL,0
311,LB,0
312,AINDPTEPUEBLA,0
313,LA,0
314,LV-ECOLO,0
315,MUP-R,0
316,GIP,0
317,AEIM,0
318,CAF,0
319,INDAPA,0
320,IIG,0
321,CIPG,0
322,GUIA,0
323,ADEL,0
324,PICaldes,0
325,IDEARROYOMOLINOSDELEON,0
326,GP,0
327,IBt,0
328,ADEI,0
329,DPi,0
330,AECMJ,0
331,A,0
332,PPRP,0
333,IdRA,0
334,ABI,0
335,UNITSPERSANTFELIU,0
336,PSM-IV-APIB,0
337,ASIM,0
338,GfentP,0
339,AEVILLAMANDOS,0
340,AEIRODEIRO,0
341,SEGURALANTZEN,0
342,GPC,0
343,GRIM,0
344,UNAXKÑT,0
345,AperG,0
346,ACAI,0
347,AIHO,0
348,BILDU-EA-ALTERNATIBA,0
349,PIVALDE,0
350,FRENTENACIONAL,0
351,GENT,0
352,IUMA,0
353,UDC,0
354,ALTpCB,0
355,aG,0
356,AEINDPTEASPRA,0
357,PNC,0
358,UDIVAL,0
359,9SV,0
360,ORBEL-ORMAIZTEGIKOBIZILAGUNAKELKARLANEAN,0
361,CISanlúcar,0
362,CIC,0
363,AIBAILEN,0
364,EIDA,0
365,LIM,0
366,SIM,0
367,UCAP,0
368,ASI-UGENA,0
369,UPRI,0
370,ISAF,0
371,MASd,0
372,UCNIGRAN-CDL,0
373,LIS,0
374,EGB,0
375,GDCI,0
376,I+PL,0
377,IST,0
378,IDAR,0
379,CIPEA,0
380,VERDESYCASTELLANOS,0
381,SAL,0
382,PRM,0
383,IAQ,0
384,GH,0
385,AENJOR,0
386,AIECOBETA,0
387,LT,0
388,AOI,0
389,AEIPOBRADEBROLLÓN,0
390,BAI-AEVO,0
391,DIFyP,0
392,FGI,0
393,PABA,0
394,AENAVAL-MIPANAS,0
395,LESPILESPELFUTUR,0
396,GIH,0
397,UITOR,0
398,ACI,0
399,Gipe-EP-And,0
400,AICASTELLANOSDEVILLIQUERA,0
401,Sd'Alginet,0
402,AEPA,0
403,40C,0
404,AEPG,0
405,UdPS,0
406,IPdL,0
407,AEITORRECABALLEROS,0
408,JAU,0
409,URJ,0
410,IDEA,0
411,IXCEE,0
412,ASBA,0
413,TPS,0
414,CPCI,0
415,CIME,0
416,AEPZ,0
417,ATI,0
418,AICO,0
419,IPRC,0
420,AICL,0
421,IPB,0
422,ACS,0
423,PILS,0
424,PILR,0
425,IPF,0
426,IPG,0
427,IPJ,0
428,APS,0
429,APV,0
430,IPM,0
431,PILA,0
432,CONARUC,0
433,API,0
434,IPV,0
435,B-LV,0
436,EpMOIÀ,0
437,APB,0
438,APC,0
439,XXL,0
440,POAL,0
441,APG,0
442,PdAL,0
443,+A,0
444,PJL,0
445,PPMAJO,0
446,DELFIN,0
447,eg,0
448,INME,0
449,AEBABIAALTA,0
450,AIPC,0
451,IXAL,0
452,UMdC,0
453,ICdR,0
454,FUE,0
455,UDEM,0
456,CTPG,0
457,IFC,0
458,VIPS,0
459,IB-LLIGA,0
460,AISHT,0
461,APIN,0
462,100xB,0
463,AEGENTDELAGUAR,0
464,CPxVI,0
465,BNR-NC,0
466,AIDAL,0
467,PRDE,0
468,AECSM,0
469,PDAP,0
470,MD,0
471,AISOS,0
472,AIVALBUENADEPISUERGA,0
473,PIGH,0
474,UH,0
475,L'EST,0
476,CIE,0
477,ASMD,0
478,ANC,0
479,EL,0
480,AEIV,0
481,DEYPA,0
482,POSI,0
483,AIVU,0
484,AIPRO,0
485,EC,0
486,IT,0
487,AEIPV,0
488,AIVM,0
489,AEIG,0
490,COMPROMISOPORCORDOVINPSOE-PR-IU,0
491,AEIA,0
492,coet,0
493,AMIONDA,0
494,AEIPEDRAZADECAMPOS,0
495,AEIO,0
496,OV-GV,0
497,AIVA,0
498,AEIDLA,0
499,PIVILLARES,0
500,PIBA-2000,0
501,IpO,0
502,AMIN,0
503,COMPROMISOCONARAGON,0
504,PPVO,0
505,LV-GV,0
506,PACMA,0
507,PPVR,0
508,UPrL,0
509,CIPB,0
510,IM,0
511,ALTERNATIVAPORSELAYA,0
512,PIE,0
513,ESPLUGAVIVA,0
514,AC-25m,0
515,INAVALVILLARDEIBOR,0
516,ESPAÑA2000,0
517,CIALBO,0
518,AGIL,0
519,AGIC,0
520,II-IPORSANSEBASTIANDELOSREYES,0
521,AIDA,0
522,OMNIA,0
523,AVIRUÑADEOCA,0
524,AIVZ,0
525,GEDAC,0
526,JBE,0
527,CideGa,0
528,REDABITABLE,0
529,AVALENZUELAINDPTE,0
530,APIC,0
531,CxB,0
532,AIFOI,0
533,ISA,0
534,ASR,0
535,IVIL,0
536,UPLALINEA,0
537,ASV,0
538,UCMI,0
